Strain ID,Species,Trial,Originally,Treatment count,Treatment Dilution ,Treatment Dilfactor,CK count,CK Dilution,CK Dilfactor,CK CFU.ml,Treatment CFU.ml,ResistanceGene,ParentvAdapted
FSL H9-0106,Innocua,1,FSL S11-0167,6,2,100,5,6,1000000,500000000,60000,1,Adapted
FSL H9-0106,Innocua,2,FSL S11-0167,2,1,10,7,6,1000000,700000000,2000,1,Adapted
FSL H9-0107,Innocua,1,FSL S11-0456,7,1,10,4,6,1000000,400000000,7000,0,Adapted
FSL H9-0107,Innocua,2,FSL S11-0456,2,1,10,1,6,1000000,100000000,2000,0,Adapted
FSL H9-0108,Innocua,1,FSL S11-0003,3,1,10,1,6,1000000,100000000,3000,0,Adapted
FSL H9-0108,Innocua,2,FSL S11-0003,1,2,100,6,6,1000000,600000000,10000,0,Adapted
FSL H9-0109,Innocua,1,FSL S10-3425,11,0,1,4,6,1000000,400000000,1100,1,Adapted
FSL H9-0109,Innocua,2,FSL S10-3425,1,1,10,2,6,1000000,200000000,1000,1,Adapted
FSL H9-0110,Innocua,1,FSL S10-2287,5,2,100,2,6,1000000,200000000,50000,0,Adapted
FSL H9-0110,Innocua,2,FSL S10-2287,2,1,10,2,6,1000000,200000000,2000,0,Adapted
FSL H9-0111,Innocua,1,FSL S11-0176,4,2,100,3,6,1000000,300000000,40000,0,Adapted
FSL H9-0111,Innocua,2,FSL S11-0176,1,1,10,3,6,1000000,300000000,1000,0,Adapted
FSL H9-0112,Innocua,1,FSL S11-0315,8,1,10,6,6,1000000,600000000,8000,0,Adapted
FSL H9-0112,Innocua,2,FSL S11-0315,6,1,10,2,6,1000000,200000000,6000,0,Adapted
FSL H9-0113,Innocua,1,FSL S10-3544,13,0,1,4,6,1000000,400000000,1300,0,Adapted
FSL H9-0113,Innocua,2,FSL S10-3544,2,1,10,1,6,1000000,100000000,2000,0,Adapted
FSL H9-0114,Innocua,1,FSL S10-3605,2,1,10,2,6,1000000,200000000,2000,0,Adapted
FSL H9-0114,Innocua,2,FSL S10-3605,9,1,10,5,6,1000000,500000000,9000,0,Adapted
FSL H9-0115,Innocua,1,FSL S10-2131,2,2,100,2,6,1000000,200000000,20000,0,Adapted
FSL H9-0115,Innocua,2,FSL S10-2131,2,1,10,5,6,1000000,500000000,2000,0,Adapted
FSL H9-0116,Innocua,1,FSL S11-0426,10,0,1,3,6,1000000,300000000,1000,0,Adapted
FSL H9-0116,Innocua,2,FSL S11-0426,30,1,10,2,6,1000000,200000000,30000,0,Adapted
FSL H9-0117,Innocua,1,FSL R12-0030,4,1,10,2,6,1000000,200000000,4000,0,Adapted
FSL H9-0117,Innocua,2,FSL R12-0030,1,2,100,2,6,1000000,200000000,10000,0,Adapted
FSL R12-0030,Innocua,1,FSL R12-0030,13,1,10,2,6,1000000,200000000,13000,0,Parent
FSL R12-0030,Innocua,2,FSL R12-0030,3,1,10,28,5,100000,280000000,3000,0,Parent
FSL S10-2131,Innocua,1,FSL S10-2131,8,1,10,3,6,1000000,300000000,8000,0,Parent
